canonical_name,funder_category,funder_country,openalex_id,aliases
National Institute of Child Health and Human Development,Government,US,F4320337364,NICHD|NIH NICHD
Instituto de Salud Carlos III,Government,Spain,F4320334923,ISCIII|Carlos III Health Institute
National Institute of Mental Health,Government,US,F4320337346,NIMH|NIH NIMH
Eunice Kennedy Shriver National Institute of Child Health and Human Development,Government,US,F4320337611,NICHD|EKS NICHD
National Key Research and Development Program of China,Government,China,F4320335777,NKP|National Key R&D Program
U.S. National Library of Medicine,Government,US,F4320337372,NLM|NIH NLM|National Library of Medicine
National Eye Institute,Government,US,F4320337350,NEI|NIH NEI
Vlaamse regering,Government,Belgium,F4320327336,Flemish Government|Government of Flanders
"Department for International Development, UK Government",Government,UK,F4320319996,DFID|UK DFID
Australian Government,Government,Australia,F4320315885,Commonwealth of Australia
Fonds Wetenschappelijk Onderzoek,Government,Belgium,F4320321730,FWO|Research Foundation Flanders
South African Medical Research Council,Government,South Africa,F4320320672,SAMRC|SA MRC
National Drug and Alcohol Research Centre,Government,Australia,F4320335233,NDARC
"International Centre for Diarrhoeal Disease Research, Bangladesh",NGO,Bangladesh,F4320325581,"icddr,b|ICDDRB"
Doris Duke Charitable Foundation,Philanthropic,US,F4320306134,DDCF|Doris Duke Foundation
Aetna Foundation,Philanthropic,US,F4320306092,Aetna
Public Health England,Government,UK,F4320321067,PHE|UK Health Security Agency|UKHSA
Government of Canada,Government,Canada,F4320319880,Gouvernement du Canada
NIHR Oxford Biomedical Research Centre,Government,US,F4320336045,NIHR Oxford BRC|Oxford BRC
Australian Agency for International Development,Government,Australia,F4320320412,AusAID
European Centre for Disease Prevention and Control,Multilateral,Multilateral,F4320320304,ECDC
Innovative Medicines Initiative,Government,Multilateral,F4320326631,IMI|IMI2
Heart and Stroke Foundation of Canada,Philanthropic,Canada,F4320307845,HSF|HSFC
"National Heart, Lung, and Blood Institute",Government,US,F4320337338,NHLBI|NIH NHLBI
Public Health Agency of Canada,Government,Canada,F4320312568,PHAC
Fred Hollows Foundation,Philanthropic,Australia,F4320315064,FHF|The Fred Hollows Foundation
Strong,Pharmaceutical,US,F4320314997,Strong Memorial Hospital
Vetenskapsrådet,Government,Sweden,F4320322581,Swedish Research Council|VR
China Medical Board,Philanthropic,US,F4320306650,CMB
Institute for Health Metrics and Evaluation,NGO,US,F4320315116,IHME
National Natural Science Foundation of China,Philanthropic,China,F4320321001,NSFC
Chinese Center for Disease Control and Prevention,Government,China,F4320322662,China CDC|Chinese CDC
Novavax,Pharmaceutical,US,F4320314772,Novavax Inc
European Federation of Pharmaceutical Industries and Associations,Multilateral,Multilateral,F4320314178,EFPIA
National Research Foundation,Philanthropic,South Africa,F4320320671,NRF|NRF South Africa
Directorate for Biological Sciences,Government,US,F4320332167,BIO|NSF BIO
Brien Holden Vision Institute,Philanthropic,Australia,F4320313001,BHVI
Javna Agencija za Raziskovalno Dejavnost RS,Government,Slovenia,F4320322554,ARRS|Slovenian Research Agency
Conselho Nacional de Desenvolvimento Científico e Tecnológico,Government,Brazil,F4320322025,CNPq
Bupa Foundation,Philanthropic,UK,F4320320059,Bupa Health Foundation
Chinese Academy of Sciences,Government,China,F4320321133,CAS
Fonds de Recherche du Québec - Santé,Government,Canada,F4320334618,FRQS|FRQ-S
March of Dimes Foundation,Philanthropic,US,F4320306182,March of Dimes|MOD
Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,Government,Germany,F4320323883,BMZ|German Federal Ministry for Economic Cooperation and Development
Alexander von Humboldt-Stiftung,Philanthropic,Germany,F4320308269,AvH|Alexander von Humboldt Foundation|Humboldt Foundation
Fundación Ramón Areces,Philanthropic,Spain,F4320310214,Ramon Areces Foundation
Forskningsrådet för Arbetsliv och Socialvetenskap,Government,Sweden,F4320321032,FAS|Swedish Council for Working Life and Social Research
Bundesministerium für Gesundheit,Government,Germany,F4320321721,BMG|German Federal Ministry of Health
Centres de Recerca de Catalunya,Government,Spain,F4320315803,CERCA
Northarvest Bean Growers Association,Philanthropic,US,F4320317635,NBGA
International Glaucoma Association,Philanthropic,UK,F4320312744,IGA
Japan Society for the Promotion of Science,Government,Japan,F4320334764,JSPS
National Health Laboratory Service,Government,South Africa,F4320326620,NHLS
Research to Prevent Blindness,Philanthropic,US,F4320306811,RPB
Instituto Mexicano del Seguro Social,Government,Mexico,F4320322967,IMSS
Center for International Health,NGO,Norway,F4320335355,CIH
American Association for Cancer Research,Philanthropic,US,F4320306091,AACR
Royal Society of Tropical Medicine and Hygiene,Philanthropic,UK,F4320320234,RSTMH
Chinese Academy of Medical Sciences,Government,China,F4320323137,CAMS|CAMS/PUMC
Statens Serum Institut,Government,Denmark,F4320335404,SSI
Generalitat Valenciana,Government,Spain,F4320321864,Valencian Government|GVA
American Asthma Foundation,Philanthropic,US,F4320310870,AAF
Northwest Regional Development Agency,Government,UK,F4320322431,NWDA
Direktoratet for Utviklingssamarbeid,Government,Norway,F4320332589,NORAD|Norwegian Agency for Development Cooperation
AXA Research Fund,Philanthropic,France,F4320321048,AXA RF
Consejo Nacional de Investigaciones Científicas y Técnicas,Government,Argentina,F4320321594,CONICET
Windermere Foundation,Philanthropic,US,F4320315942,Windermere
Australian Rotary Health,Philanthropic,Australia,F4320320448,ARH
Grand Challenges Canada,Philanthropic,Canada,F4320322921,GCC
National Institute for Health Research Health Protection Research Unit,Government,US,F4320318095,NIHR HPRU|HPRU
Fondation de France,Philanthropic,France,F4320322646,FDF
Unilever,Pharmaceutical,UK,F4320309585,Unilever plc
Ministry of Health of the People's Republic of China,Government,China,F4320323483,China MOH|Ministry of Health China
Madras Diabetes Research Foundation,Philanthropic,India,F4320324639,MDRF
Australian Research Council,Government,Australia,F4320334704,ARC
Korea Centers for Disease Control and Prevention,Government,South Korea,F4320334882,KCDC|Korea CDC|Korea Disease Control and Prevention Agency|KDCA
National Center for Research Resources,Government,US,F4320337375,NCRR|NIH NCRR
